first_reading	second_reading	third_reading
2022-10-02T13:25Z;04:23;00:08	2022-10-02T13:48Z;20:06;00:26	2022-10-02T16:07Z;04:23;00:04
2022-10-02T13:25Z;04:33;00:09	2022-10-02T13:48Z;20:34;00:27	2022-10-02T16:07Z;04:28;00:05
2022-10-02T13:25Z;04:40;00:07	2022-10-02T13:48Z;20:59;00:25	2022-10-02T16:07Z;04:33;00:04
2022-10-02T13:25Z;04:47;00:07	2022-10-02T13:49Z;21:27;00:28	2022-10-02T16:07Z;04:37;00:04
2022-10-02T13:26Z;04:55;00:07	2022-10-02T13:49Z;21:56;00:28	2022-10-02T16:07Z;04:42;00:04
2022-10-02T13:26Z;05:06;00:10	2022-10-02T13:50Z;22:22;00:25	2022-10-02T16:08Z;04:47;00:04
2022-10-02T13:26Z;05:13;00:07	2022-10-02T13:50Z;22:46;00:24	2022-10-02T16:08Z;04:52;00:04
2022-10-02T13:26Z;05:21;00:07	2022-10-02T13:51Z;23:10;00:23	2022-10-02T16:08Z;04:57;00:04
2022-10-02T13:26Z;05:28;00:06	2022-10-02T13:51Z;23:37;00:26	2022-10-02T16:08Z;05:02;00:04
2022-10-02T13:26Z;05:35;00:07	2022-10-02T13:51Z;24:01;00:24	2022-10-02T16:08Z;05:07;00:04
2022-10-02T13:26Z;05:42;00:06	2022-10-02T13:52Z;24:24;00:22	2022-10-02T16:08Z;05:12;00:04
2022-10-02T13:26Z;05:49;00:07	2022-10-02T13:52Z;24:48;00:23	2022-10-02T16:08Z;05:16;00:04
2022-10-02T13:27Z;05:58;00:08	2022-10-02T13:53Z;25:14;00:26	2022-10-02T16:08Z;05:21;00:04
2022-10-02T13:27Z;06:06;00:07	2022-10-02T13:53Z;25:37;00:23	2022-10-02T16:08Z;05:26;00:04
2022-10-02T13:27Z;06:13;00:07	2022-10-02T13:53Z;26:00;00:23	2022-10-02T16:08Z;05:31;00:04
2022-10-02T13:27Z;06:19;00:06	2022-10-02T13:54Z;26:23;00:23	2022-10-02T16:08Z;05:36;00:05
	2022-10-02T13:54Z;26:49;00:25	2022-10-02T16:08Z;05:41;00:04
	2022-10-02T13:55Z;27:13;00:24	2022-10-02T16:09Z;05:46;00:04
	2022-10-02T13:55Z;27:36;00:23	2022-10-02T16:09Z;05:51;00:04
	2022-10-02T13:55Z;28:01;00:24	2022-10-02T16:09Z;05:56;00:04
	2022-10-02T13:56Z;28:27;00:26	2022-10-02T16:09Z;06:01;00:04
	2022-10-02T13:56Z;28:52;00:24	2022-10-02T16:09Z;06:05;00:04
	2022-10-02T13:57Z;29:17;00:25	2022-10-02T16:09Z;06:10;00:04
	2022-10-02T13:57Z;29:43;00:25	2022-10-02T16:09Z;06:15;00:04
	2022-10-02T13:58Z;30:10;00:27	2022-10-02T16:09Z;06:20;00:04
	2022-10-02T13:58Z;30:35;00:24	2022-10-02T16:09Z;06:25;00:04
	2022-10-02T13:58Z;31:00;00:25	2022-10-02T16:09Z;06:30;00:04
	2022-10-02T13:59Z;31:25;00:24	2022-10-02T16:09Z;06:35;00:04
	2022-10-02T13:59Z;31:50;00:25	2022-10-02T16:09Z;06:40;00:04
	2022-10-02T14:00Z;32:15;00:24	2022-10-02T16:09Z;06:45;00:04
	2022-10-02T14:00Z;32:41;00:25	2022-10-02T16:10Z;06:50;00:04
	2022-10-02T14:01Z;33:07;00:26	2022-10-02T16:10Z;06:55;00:05
	2022-10-02T14:01Z;33:33;00:25	2022-10-02T16:10Z;07:01;00:05
	2022-10-02T14:01Z;34:00;00:26	2022-10-02T16:10Z;07:06;00:04
	2022-10-02T14:02Z;34:25;00:25	2022-10-02T16:10Z;07:11;00:04
	2022-10-02T14:02Z;34:51;00:25	2022-10-02T16:10Z;07:16;00:04
	2022-10-02T14:03Z;35:20;00:28	2022-10-02T16:10Z;07:20;00:04
	2022-10-02T14:03Z;35:46;00:25	2022-10-02T16:10Z;07:26;00:05
	2022-10-02T14:04Z;36:11;00:24	2022-10-02T16:10Z;07:31;00:05
	2022-10-02T14:04Z;36:35;00:24	2022-10-02T16:10Z;07:36;00:04
	2022-10-02T14:04Z;37:01;00:26	2022-10-02T16:10Z;07:41;00:05
	2022-10-02T14:05Z;37:25;00:23	2022-10-02T16:11Z;07:46;00:05
	2022-10-02T14:05Z;37:49;00:24	2022-10-02T16:11Z;07:51;00:05
	2022-10-02T14:06Z;38:13;00:24	2022-10-02T16:11Z;07:56;00:05
	2022-10-02T14:06Z;38:42;00:29	2022-10-02T16:11Z;08:01;00:04
	2022-10-02T14:07Z;39:07;00:24	2022-10-02T16:11Z;08:06;00:04
	2022-10-02T14:07Z;39:33;00:26	2022-10-02T16:11Z;08:11;00:04
	2022-10-02T14:07Z;39:59;00:25	2022-10-02T16:11Z;08:16;00:04
	2022-10-02T14:08Z;40:26;00:26	2022-10-02T16:11Z;08:21;00:04
	2022-10-02T14:08Z;40:52;00:26	2022-10-02T16:11Z;08:26;00:04
	2022-10-02T14:09Z;41:17;00:25	2022-10-02T16:11Z;08:31;00:05
	2022-10-02T14:09Z;41:47;00:29	2022-10-02T16:11Z;08:36;00:05
	2022-10-02T14:10Z;42:18;00:31	2022-10-02T16:11Z;08:41;00:05
	2022-10-02T14:10Z;42:45;00:27	2022-10-02T16:12Z;08:47;00:05
	2022-10-02T14:11Z;43:11;00:25	2022-10-02T16:12Z;08:52;00:05
	2022-10-02T14:11Z;43:37;00:26	2022-10-02T16:12Z;08:57;00:05
	2022-10-02T14:11Z;44:03;00:25	2022-10-02T16:12Z;09:02;00:05
