first_reading	second_reading	third_reading
	2022-10-02T15:47Z;139:38;00:31	
	2022-10-02T15:48Z;140:08;00:30	
	2022-10-02T15:48Z;140:39;00:30	
	2022-10-02T15:49Z;141:12;00:33	
	2022-10-02T15:49Z;141:42;00:29	
	2022-10-02T15:50Z;142:11;00:28	
	2022-10-02T15:50Z;142:45;00:33	
	2022-10-02T15:51Z;143:23;00:38	
	2022-10-02T15:51Z;143:59;00:35	
	2022-10-02T15:53Z;145:18;01:18	
	2022-10-02T15:54Z;146:36;01:18	
	2022-10-02T15:55Z;147:47;01:10	
	2022-10-02T15:56Z;148:34;00:47	
	2022-10-02T15:57Z;149:22;00:47	
	2022-10-02T15:58Z;150:30;01:08	
	2022-10-02T15:59Z;151:15;00:44	
	2022-10-02T15:59Z;152:03;00:48	
	2022-10-02T16:01Z;153:39;01:35	
	2022-10-02T16:02Z;154:53;01:14	
